Player,Season,Team,G,GS,CG,IP,H,R,ER,BB,SO,W,L,SV,2B,3B,ERA,SHO,HR,BAA,WP,HBP,WHIP,FAKE STRIKE %,STRIKE %,PFR,BIPA,K/9,BB/9,ERC,Fake FPS%,FPS %
"De Los Santos, P",2025,Welland Jackfish,6,0,0,6,4,1,0,0,7,0,0,0,0,0,0,0,0,0.182,1,1,0.67,0.62,62,1.167,0.25,10.5,0,1.08,0.652,65
"Bradwell, J",2025,Welland Jackfish,8,2,0,23.1,17,7,3,10,26,1,2,0,0,1,1.15,0,0,0.193,3,0,1.16,0.67,67,1.543,0.23,10.029,3.857,1.673,0.61,61
"Seward, J",2025,Welland Jackfish,7,0,0,7.1,4,1,1,8,11,1,0,0,0,0,1.22,0,0,0.148,0,0,1.64,0.55,55,2.591,0.167,13.5,9.818,3.754,0.657,66
"Leyer, E",2025,Welland Jackfish,13,6,0,45.2,26,9,9,11,60,6,1,0,4,1,1.77,0,2,0.167,1,4,0.81,0.67,67,1.555,0.212,11.825,2.168,1.385,0.717,72
"Howat, D",2025,Welland Jackfish,16,0,0,24.2,23,8,5,6,24,0,0,0,3,1,1.82,0,1,0.247,2,0,1.18,0.69,69,1.216,0.275,8.757,2.189,2.836,0.689,69
"Ortega, T",2025,Welland Jackfish,11,11,0,60,43,15,15,9,81,7,1,0,9,1,2.25,0,4,0.198,1,4,0.87,0.71,71,1.5,0.264,12.15,1.35,1.824,0.664,66
"Mendez, D",2025,Welland Jackfish,17,0,0,20,15,6,5,9,26,0,1,6,5,0,2.25,0,1,0.205,2,1,1.2,0.64,64,1.75,0.23,11.7,4.05,2.65,0.64,64
"Abram, B",2025,Welland Jackfish,12,10,0,68.1,65,24,23,9,58,7,2,0,6,1,3.02,0,8,0.244,4,3,1.08,0.68,68,0.98,0.269,7.639,1.185,3.097,0.748,75
"Porcellato, A",2025,Welland Jackfish,7,0,0,10,8,7,4,8,11,0,0,0,1,0,3.6,0,2,0.235,2,1,1.6,0.59,59,1.9,0.2,9.9,7.2,6.151,0.651,65
"Domínguez, J",2025,Welland Jackfish,11,9,0,56.2,55,32,26,17,45,6,3,0,10,0,4.12,0,2,0.246,3,3,1.27,0.65,65,1.094,0.269,7.147,2.7,3.248,0.701,70
"Underhill, B",2025,Welland Jackfish,2,0,0,3,4,4,2,1,1,0,0,0,3,0,6,0,0,0.364,0,0,1.67,0.73,73,0.667,0.308,3,3,5.241,0.846,85
"Knoll, H",2025,Welland Jackfish,17,4,0,36.1,51,29,28,11,30,3,1,0,7,2,6.93,0,8,0.325,1,2,1.71,0.64,64,1.128,0.326,7.431,2.725,7.352,0.676,68
"Gillespie, S",2025,Welland Jackfish,11,0,0,14.2,17,13,12,7,21,0,0,1,2,0,7.36,0,7,0.288,2,5,1.64,0.59,59,1.909,0.227,12.886,4.295,11.247,0.528,53
"Feuerstake, C",2025,Welland Jackfish,1,0,0,1,0,1,1,1,1,0,0,0,0,0,9,0,0,0,1,0,1,0.5,50,2,0,9,9,0.448,0.6,60
"Bench, A",2025,Welland Jackfish,1,0,0,1,2,3,3,2,1,0,0,0,1,0,27,0,0,0.5,0,0,4,0.55,55,3,0.286,9,18,16.689,0.714,71
"Richardson, D",2025,Toronto Maple Leafs,6,0,0,9.2,7,0,0,4,17,1,0,2,2,0,0,0,0,0.194,1,2,1.14,0.67,67,2.172,0.28,15.828,3.724,2.486,0.857,86
"Sitarenios, B",2025,Toronto Maple Leafs,2,0,0,4,2,1,1,4,1,1,0,0,1,0,2.25,0,0,0.182,1,0,1.5,0.53,53,1.25,0.125,2.25,9,3.215,0.5,50
"Florentino, L",2025,Toronto Maple Leafs,14,4,0,36,34,21,12,18,46,1,1,1,2,0,3,0,3,0.248,7,2,1.44,0.62,62,1.778,0.287,11.5,4.5,4.495,0.688,69
"Oborne, D",2025,Toronto Maple Leafs,3,0,0,5.1,2,3,2,6,11,0,0,0,0,0,3.37,0,0,0.111,2,0,1.5,0.51,51,3.188,0.154,18.563,10.125,2.731,0.458,46
"Newton, J",2025,Toronto Maple Leafs,12,0,0,14,14,8,7,7,12,0,1,0,1,0,4.5,0,5,0.259,0,2,1.5,0.59,59,1.357,0.196,7.714,4.5,8.522,0.508,51
"Nagorski, C",2025,Toronto Maple Leafs,2,0,0,2,2,1,1,0,2,0,0,0,0,0,4.5,0,1,0.286,0,0,1,0.58,58,1,0.25,9,0,5.453,0.571,57
"Brown, M",2025,Toronto Maple Leafs,9,3,0,22,26,17,11,11,22,0,2,1,6,0,4.5,0,2,0.295,2,4,1.68,0.64,64,1.5,0.296,9,4.5,6.423,0.667,67
"Deska, M",2025,Toronto Maple Leafs,9,0,0,13.1,12,12,7,7,12,0,0,0,3,1,4.72,0,0,0.24,0,1,1.42,0.62,62,1.425,0.24,8.1,4.725,4.025,0.633,63
"Hernandez, F",2025,Toronto Maple Leafs,6,4,0,22,23,13,12,11,30,1,2,0,7,0,4.9,0,1,0.261,1,4,1.55,0.64,64,1.864,0.306,12.273,4.5,5.135,0.612,61
"Berenbaum, J",2025,Toronto Maple Leafs,11,9,0,49.1,60,34,29,25,54,4,4,0,13,1,5.29,0,7,0.3,4,4,1.72,0.63,63,1.601,0.312,9.851,4.561,6.661,0.635,64
"Lepard, T",2025,Toronto Maple Leafs,8,1,0,13.1,21,8,8,3,13,0,1,1,1,0,5.4,0,5,0.344,0,1,1.8,0.66,66,1.2,0.34,8.775,2.025,9.458,0.646,65
"Alvarado, W",2025,Toronto Maple Leafs,13,8,0,44,52,33,28,23,52,4,2,0,10,1,5.72,0,1,0.286,9,7,1.7,0.61,61,1.705,0.309,10.636,4.705,5.365,0.634,63
"Carrington, G",2025,Toronto Maple Leafs,11,0,0,10.1,15,8,7,6,11,0,1,0,2,0,6.09,0,2,0.326,4,2,2.03,0.58,58,1.645,0.31,9.581,5.226,10.74,0.509,51
"Rodriguez, S",2025,Toronto Maple Leafs,5,0,0,10,15,8,7,4,7,1,1,0,4,0,6.3,0,0,0.333,1,0,1.9,0.64,64,1.1,0.349,6.3,3.6,6.103,0.68,68
"Currah, N",2025,Toronto Maple Leafs,9,1,0,18.1,22,17,13,10,17,1,0,0,5,0,6.38,0,1,0.289,1,1,1.75,0.65,65,1.473,0.288,8.345,4.909,6.359,0.663,66
"Jafine, A",2025,Toronto Maple Leafs,11,6,0,33.2,51,40,26,15,32,0,5,1,7,0,6.95,0,9,0.331,2,7,1.96,0.62,62,1.396,0.302,8.554,4.01,9.748,0.62,62
"Howard, D",2025,Toronto Maple Leafs,7,3,0,22.1,29,23,21,12,23,2,2,0,4,1,8.46,0,3,0.305,4,2,1.84,0.61,61,1.567,0.306,9.269,4.836,7.011,0.582,58
"Uher, A",2025,Toronto Maple Leafs,3,0,0,3,9,4,4,1,4,0,0,0,1,0,12,0,1,0.529,0,0,3.33,0.67,67,1.667,0.615,12,3,21.199,0.5,50
"Spencer, S",2025,Toronto Maple Leafs,4,0,0,4.2,7,7,7,3,5,0,1,0,1,0,13.5,0,2,0.333,2,1,2.14,0.58,58,1.714,0.278,9.643,5.786,13.531,0.52,52
"Sato, A",2025,Toronto Maple Leafs,13,3,0,16.2,40,27,26,1,9,1,0,0,8,0,14.04,0,13,0.46,2,3,2.46,0.68,68,0.6,0.38,4.86,0.54,22.322,0.717,72
"Lee, E",2025,Toronto Maple Leafs,6,0,0,5,9,10,9,7,4,0,1,0,3,0,16.2,0,1,0.375,3,1,3.2,0.58,58,2.2,0.296,7.2,12.6,18.315,0.594,59
"Marra, A",2025,Toronto Maple Leafs,10,0,0,10.1,28,26,24,8,9,1,0,0,7,0,20.9,0,3,0.467,0,3,3.48,0.6,60,1.645,0.41,7.839,6.968,26.718,0.764,76
"Leach, L",2025,Toronto Maple Leafs,2,0,0,1.1,1,6,6,4,1,0,0,0,0,0,40.5,0,0,0.2,0,4,3.75,0.35,35,3.75,0.083,6.75,27,31.143,0.615,62
"Kharabian, A",2025,Toronto Maple Leafs,3,0,0,1.2,6,8,8,4,2,0,0,0,0,0,43.2,0,1,0.545,2,2,6,0.48,48,3.6,0.357,10.8,21.6,65.642,0.412,41
"Janisse, S",2025,London Majors,23,0,0,29,22,12,8,12,36,5,1,12,3,0,2.48,0,5,0.2,5,1,1.17,0.63,63,1.655,0.202,11.172,3.724,3.264,0.752,75
"Keys, T",2025,London Majors,14,14,0,82.2,92,38,26,26,49,5,3,0,17,2,2.83,0,5,0.288,2,5,1.43,0.63,63,0.907,0.287,5.335,2.831,4.361,0.657,66
"Bennett, N",2025,London Majors,11,1,0,12.2,11,7,4,5,20,0,0,1,1,0,2.84,0,2,0.224,2,0,1.26,0.65,65,1.974,0.273,14.211,3.553,3.987,0.691,69
"Payano, V",2025,London Majors,16,15,0,101.1,105,49,37,16,113,6,4,0,21,0,3.28,0,4,0.263,0,5,1.19,0.71,71,1.273,0.318,10.036,1.421,3.061,0.73,73
"Arias, J",2025,London Majors,18,7,0,60.2,66,34,27,24,48,4,2,0,15,1,4,0,5,0.27,9,4,1.48,0.63,63,1.187,0.272,7.121,3.56,4.698,0.687,69
"Beitel, R",2025,London Majors,16,0,0,23.1,27,14,13,3,25,2,2,0,5,0,5.01,0,4,0.284,4,0,1.29,0.68,68,1.2,0.329,9.643,1.157,4.67,0.768,77
"Ring, C",2025,London Majors,13,3,0,27.1,31,22,18,28,20,1,2,0,4,0,5.92,0,3,0.292,5,2,2.16,0.56,56,1.756,0.246,6.585,9.22,8.499,0.613,61
"Springer, A",2025,London Majors,7,2,0,10.1,15,10,9,3,10,0,1,0,3,0,7.83,0,3,0.341,1,0,1.74,0.71,71,1.258,0.324,8.71,2.613,8.501,0.755,76
"Lund, J",2025,London Majors,11,0,0,12,13,14,13,11,9,1,0,0,3,0,9.75,0,3,0.289,4,1,2,0.53,53,1.667,0.204,6.75,8.25,9.315,0.559,56
"Henry, J",2025,London Majors,12,0,0,13.2,16,17,16,9,11,0,2,0,1,0,10.53,0,5,0.286,1,1,1.83,0.65,65,1.463,0.2,7.244,5.927,8.385,0.643,64
"Alvarez DeLugo, R",2025,London Majors,4,0,0,4.2,12,7,7,3,2,0,1,0,2,1,13.5,0,0,0.5,0,4,3.21,0.6,60,1.071,0.414,3.857,5.786,26.742,0.613,61
"KyRose, N",2025,Kitchener Panthers,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,2,0.65,65,1,0.667,9,0,9.493,0.75,75
"Mauris, Y",2025,Kitchener Panthers,5,0,0,5,2,2,1,0,5,0,0,2,1,1,1.8,0,0,0.105,0,0,0.4,0.72,72,1,0.143,9,0,-0.137,0.842,84
"MacNeil, O",2025,Kitchener Panthers,13,8,0,53,39,28,22,32,51,3,2,0,5,1,3.73,0,7,0.203,0,6,1.34,0.6,60,1.566,0.182,8.66,5.434,4.1,0.609,61
"Martinez, Y",2025,Kitchener Panthers,14,8,0,60.2,68,38,31,22,71,6,6,0,13,1,4.59,0,9,0.28,1,3,1.48,0.6,60,1.533,0.307,10.533,3.264,5.126,0.576,58
"Matthews, B",2025,Kitchener Panthers,2,0,0,3.2,6,2,2,1,3,0,0,0,0,0,4.9,0,0,0.375,1,1,1.91,0.58,58,1.091,0.4,7.364,2.455,9.217,0.611,61
"Alvarez DeLugo, R",2025,Kitchener Panthers,3,1,0,6.1,8,4,4,4,3,1,0,0,5,0,5.68,0,0,0.32,0,0,1.89,0.6,60,1.105,0.308,4.263,5.684,6.263,0.552,55
"Parsons, D",2025,Kitchener Panthers,12,0,0,15.2,14,13,11,12,18,0,1,0,0,1,6.31,0,3,0.246,5,4,1.66,0.57,57,1.915,0.193,10.34,6.894,7.262,0.645,65
"Vargas, A",2025,Kitchener Panthers,14,13,1,77.2,101,68,57,34,92,2,9,0,9,0,6.6,0,18,0.308,8,4,1.74,0.63,63,1.622,0.313,10.661,3.94,7.218,0.639,64
"Garcia, D",2025,Kitchener Panthers,19,0,0,27.2,30,24,21,12,32,1,1,5,3,0,6.83,0,5,0.286,0,5,1.52,0.65,65,1.59,0.263,10.41,3.904,6.152,0.656,66
"Elliott, E",2025,Kitchener Panthers,12,12,0,60.1,81,56,46,35,68,2,4,0,12,0,6.86,0,9,0.315,6,7,1.92,0.63,63,1.707,0.313,10.144,5.221,7.679,0.681,68
"Liberta, J",2025,Kitchener Panthers,5,0,0,12,20,15,15,9,16,1,0,1,6,3,11.25,0,1,0.357,4,1,2.42,0.6,60,2.083,0.388,12,6.75,10.439,0.667,67
"Reid, B",2025,Kitchener Panthers,14,0,0,18,35,32,23,21,13,1,1,0,4,0,11.5,0,7,0.412,1,2,3.11,0.54,54,1.889,0.289,6.5,10.5,18.532,0.619,62
"De la Cruz, J",2025,Kitchener Panthers,2,0,0,2.2,5,4,4,1,2,0,0,0,2,0,13.5,0,2,0.385,0,0,2.25,0.63,63,1.125,0.3,6.75,3.375,18.78,0.714,71
"Kozak, K",2025,Kitchener Panthers,11,0,0,13,17,25,21,28,15,0,1,0,4,0,14.53,0,3,0.333,3,0,3.46,0.5,50,3.308,0.206,10.385,19.385,16.635,0.482,48
"Cain-Plante, C",2025,Kitchener Panthers,4,0,0,6,14,11,11,7,6,0,0,0,2,0,16.5,0,2,0.483,1,2,3.5,0.56,56,2.167,0.353,9,10.5,21.488,0.575,58
"MacNeil, A",2025,Kitchener Panthers,5,0,0,4.2,3,9,9,9,3,0,0,0,0,0,17.35,0,0,0.188,5,4,2.57,0.39,39,2.571,0.107,5.786,17.357,11.59,0.4,40
"Gregoire, K",2025,Kitchener Panthers,1,0,0,0.1,2,1,1,1,0,0,0,0,0,0,27,0,0,0.667,0,1,9,0.33,33,3,0.4,0,27,240.921,0.2,20
"Boon, O",2025,Hamilton Cardinals,12,11,1,70,42,18,14,23,88,6,1,0,6,1,1.8,1,4,0.174,4,3,0.93,0.66,66,1.586,0.211,11.314,2.957,1.762,0.646,65
"Adames, F",2025,Hamilton Cardinals,10,9,0,43.2,41,19,12,13,50,2,4,0,6,0,2.47,0,1,0.244,2,6,1.24,0.65,65,1.443,0.288,10.305,2.679,3.334,0.709,71
"Sanchez, R",2025,Hamilton Cardinals,1,1,0,3,4,1,1,4,5,0,0,0,0,1,3,0,0,0.308,1,1,2.67,0.52,52,3,0.308,15,12,10.342,0.556,56
"Warkentin, L",2025,Hamilton Cardinals,11,2,0,18.2,12,7,7,15,20,1,0,0,2,2,3.37,0,1,0.182,1,2,1.45,0.59,59,1.875,0.167,9.643,7.232,3.72,0.659,66
"Rodney, F",2025,Hamilton Cardinals,20,0,0,18.2,14,11,7,9,32,1,3,7,2,0,3.37,0,2,0.203,0,2,1.23,0.61,61,2.196,0.24,15.429,4.339,3.273,0.854,85
"Salcedo, C",2025,Hamilton Cardinals,6,2,0,15,13,9,6,14,17,0,0,0,2,0,3.6,0,1,0.224,3,1,1.8,0.57,57,2.067,0.218,10.2,8.4,6.227,0.562,56
"Seroski, C",2025,Hamilton Cardinals,19,0,0,26.1,24,14,11,8,33,2,0,1,2,1,3.75,0,2,0.235,4,2,1.22,0.66,66,1.557,0.278,11.278,2.734,3.869,0.825,83
"Mainprize, D",2025,Hamilton Cardinals,10,0,0,11.2,14,6,5,8,4,0,0,0,1,0,3.85,0,2,0.28,2,2,1.89,0.62,62,1.029,0.214,3.086,6.171,8.25,0.705,71
"Gajic, J",2025,Hamilton Cardinals,13,0,0,11.1,15,7,5,5,7,0,0,0,4,0,3.97,0,0,0.326,0,2,1.76,0.62,62,1.059,0.326,5.559,3.971,8.022,0.679,68
